date,district,rain_mean,rain_max,rain_min,ante_15d,Flood occurrences
1998-08-07,KAPCHORWA,12.959819764942722,19.630958557128903,1.08631694316864,109.12305199771433,False
1998-08-08,KAPCHORWA,11.720209861559804,25.72407341003418,0.7585009336471558,106.57644462022434,False
1998-08-09,KAPCHORWA,1.507594231890309,4.524403095245361,0.0,105.94911618976691,False
1998-08-10,KAPCHORWA,5.112651631570777,11.194354057312012,0.060985267162323,98.63170917898375,False
1998-08-11,KAPCHORWA,9.070086714203912,12.888633728027344,6.587700366973877,103.58466791757223,False
1998-08-12,KAPCHORWA,11.219715732600864,24.66061210632324,0.9511406421661376,111.28032757469174,False
1998-08-13,KAPCHORWA,16.402339313924394,29.64242172241211,6.87969446182251,122.7672354183559,False
1998-08-14,KAPCHORWA,1.397882938972906,4.709329128265381,0.1885798275470733,118.7888469703092,False
1998-08-15,KAPCHORWA,21.05072684028512,35.73070526123047,9.513720512390137,125.00031315385192,False
1998-08-16,KAPCHORWA,0.5920113673989007,2.4764037132263184,0.1593459099531173,123.2910330144868,False
1998-08-17,KAPCHORWA,2.5339491951864304,8.758899688720703,0.6490667462348938,124.5531721066827,False
1998-08-18,KAPCHORWA,2.6077424879338316,10.452393531799316,0.779853880405426,125.59272644452709,False
1998-08-19,KAPCHORWA,0.8513260498894153,3.832275629043579,0.2323238849639892,123.82793128718183,False
1998-08-20,KAPCHORWA,0.7214449360029683,4.427341938018799,0.1764445751905441,123.17511747838043,False
1998-08-21,KAPCHORWA,10.09666369321011,17.735395431518555,2.7703747749328613,107.84416475957246,False
1998-08-22,KAPCHORWA,2.644906762571715,5.641379356384277,0.0,97.52925175720146,False
1998-08-23,KAPCHORWA,19.578366029915255,23.143413543701172,12.601308822631836,105.38740792555691,False
1998-08-24,KAPCHORWA,5.6572704047542395,9.52296257019043,1.0678317546844482,109.53708409842083,False
1998-08-25,KAPCHORWA,6.027978724339785,9.012968063354492,5.10028600692749,110.45241119118985,False
1998-08-26,KAPCHORWA,7.357476825822527,16.076284408569336,3.490206241607666,108.73980130280846,False
1998-08-27,KAPCHORWA,14.64606611000018,18.41693878173828,7.414942741394043,112.16615168020778,False
1998-08-28,KAPCHORWA,7.232912241203387,9.97925090789795,4.670914173126221,102.99672460748678,False
1998-08-29,KAPCHORWA,3.074296324568241,9.30458164215088,0.0841352939605712,104.67313799308211,False
1998-08-30,KAPCHORWA,1.0704570604647934,2.5404443740844727,0.1715065687894821,84.69286821326178,False
1998-08-31,KAPCHORWA,3.260924252783737,9.090346336364746,0.2795424461364746,87.36178109864662,False
1998-09-01,KAPCHORWA,1.7268082602510242,3.3448750972747803,0.3612534999847412,86.55464016371121,False
1998-09-02,KAPCHORWA,2.853816374967142,7.433002948760986,0.1032574325799942,86.80071405074453,False
1998-09-03,KAPCHORWA,0.6386385903508741,1.8782408237457275,0.0,86.58802659120597,False
1998-09-04,KAPCHORWA,1.8232105812089665,4.4422926902771,0.0056054033339023,87.68979223641198,False
