date,district,tmax_c,tmin_c,tmean_c
1981-10-04,BUTALEJA,25.80373090505676,16.977265483486693,21.025002679971625
1981-10-04,KWEEN,23.648971185261694,14.495944137039638,19.034341244302208
1981-10-04,KAPCHORWA,21.457746258357826,13.482897609032,17.602528830208957
1981-10-04,MANAFWA,22.783619677983665,13.580969616407558,17.94782347684585
1981-10-04,BUDUDA,20.21971462467203,11.959671949915773,16.036053653482526
1981-10-04,MBALE,23.825651265129448,14.689144911686693,19.190774078031534
1981-10-04,MBALE,23.693634116758446,14.485060833827792,19.289340778766952
1981-10-05,SIRONKO,23.358440329472902,13.408289259535636,18.574851462782586
1981-10-05,BULAMBULI,25.137458969073283,14.35573733556849,19.84184714579116
1981-10-05,BUKWO,20.75247824872946,11.837105432318547,16.219109697651003
1981-10-05,BUTALEJA,27.33749298432098,16.411653660164944,21.625790420272097
1981-10-05,KWEEN,25.06080011086797,13.803501950177436,19.388989032473535
1981-10-05,KAPCHORWA,22.803548150310103,12.750655194595138,17.72604424674005
1981-10-05,MANAFWA,23.46542476583587,12.63749259064562,18.663840759902605
1981-10-05,BUDUDA,20.83771603699423,11.22427773537506,16.426572088638128
1981-10-05,MBALE,24.63487792975008,13.729220349549983,19.57604315024486
1981-10-05,MBALE,24.349697487543914,13.377818916052254,19.36684397896805
1981-10-06,SIRONKO,23.881523845118,13.743845871978726,18.97812573007228
1981-10-06,BULAMBULI,25.55379321790515,14.8689714532019,20.25631268428439
1981-10-06,BUKWO,20.59733189875639,12.639293039329992,16.148491344726942
1981-10-06,BUTALEJA,28.14501221071553,16.788333256244726,22.37567081761141
1981-10-06,KWEEN,24.931144551792844,14.12542681976683,19.525657244380852
1981-10-06,KAPCHORWA,23.095955654070472,13.077898724809572,18.013664980017282
1981-10-06,MANAFWA,23.562400435865495,13.244620966956465,18.757591414597382
1981-10-06,BUDUDA,20.88471195216107,11.647999044363331,16.477197892332924
1981-10-06,MBALE,24.93243048952718,14.343601459332623,20.041983805663083
1981-10-06,MBALE,24.92933437591118,14.097811865775517,19.987670328802608
1981-10-07,SIRONKO,23.0867432428508,14.39989078596328,18.913601638260964
1981-10-07,BULAMBULI,24.54830554378822,15.691496773215233,20.196275735988756
1981-10-07,BUKWO,19.643980321553627,12.562422095764383,15.717676042424298
1981-10-07,BUTALEJA,27.705887496255936,17.91143610101017,22.435799866067175
1981-10-07,KWEEN,24.21783344282182,14.749365734632999,19.302943588079547
1981-10-07,KAPCHORWA,21.913881549125456,13.718608362179497,17.823119462425314
1981-10-07,MANAFWA,23.361153581894566,14.118050820338125,19.055990250963326
1981-10-07,BUDUDA,20.357791849586317,12.23019162285608,16.564805574129103
1981-10-07,MBALE,24.811451851962595,15.310620061726356,20.35518114542768
1981-10-07,MBALE,24.377993566520548,15.147590850074122,20.142544401816213
1981-10-08,SIRONKO,23.635026844000343,14.293146241319539,19.51581144098826
1981-10-08,BULAMBULI,25.316036986326942,14.970151546667594,20.42600938790832
1981-10-08,BUKWO,20.54058179722742,12.206925952871622,16.412973590525976
1981-10-08,BUTALEJA,28.02164253017898,17.32473757218212,22.74475075451633
1981-10-08,KWEEN,24.962328141201713,14.442663829201813,19.643157244378926
1981-10-08,KAPCHORWA,22.759442719919267,13.605419139425404,18.22585609646455
1981-10-08,MANAFWA,23.88751073051021,13.751793687095342,19.15861815441846
1981-10-08,BUDUDA,20.956204313918455,12.248842451310106,17.072408534722914
1981-10-08,MBALE,25.228245332177003,14.880802138717296,20.517057018470066
1981-10-08,MBALE,25.08703229722643,14.711784622908592,20.55180089056159
1981-10-09,SIRONKO,23.33969508426635,14.704440407034834,18.958279027258044
1981-10-09,BULAMBULI,24.744270011711656,15.232029259414414,20.270399294578525
1981-10-09,BUKWO,19.826650634610797,12.282970560213188,16.093966088227177
1981-10-09,BUTALEJA,27.339153325617577,17.97441632801936,21.992465905696623
1981-10-09,KWEEN,24.110139591347025,14.253046256272235,19.694336777144173
1981-10-09,KAPCHORWA,22.24009447264144,13.279768572247914,17.966985639285635
1981-10-09,MANAFWA,23.09740689367921,14.446377625769674,18.76603409498771
1981-10-09,BUDUDA,20.352710576920696,12.689461650494604,16.524348568631133
1981-10-09,MBALE,24.687045827702985,15.90536509137654,20.159179977617857
1981-10-09,MBALE,24.562585429324656,16.018517641169485,20.17448857890581
1981-10-10,SIRONKO,21.66460917210907,14.377462734492877,18.370220658725618
1981-10-10,BULAMBULI,23.393005671256642,15.337131610960954,19.77863366329207
1981-10-10,BUKWO,19.789079639681272,12.405637162754067,15.601907442672365
1981-10-10,BUTALEJA,25.505023543430028,17.308536612690215,21.067437522221777
1981-10-10,KWEEN,23.67464296490783,14.194133894898343,19.323487086651987
1981-10-10,KAPCHORWA,21.09738603950032,13.274747437876373,17.482625619195023
1981-10-10,MANAFWA,22.129032659399,13.725846746455014,18.082639888030965
1981-10-10,BUDUDA,19.535109057315577,12.007129877517228,15.951768408394429
1981-10-10,MBALE,23.27067712077852,15.487827577045632,19.522580143646657
1981-10-10,MBALE,22.995331853993424,15.836237539617168,19.62978146837775
1981-10-11,SIRONKO,21.59926230946063,14.492939590001964,18.62605955541745
1981-10-11,BULAMBULI,23.09297328860676,15.54046800114403,19.431925933107035
1981-10-11,BUKWO,18.850782653516386,11.494301892188139,14.745756783117153
1981-10-11,BUTALEJA,25.327747356584112,17.509629367989294,21.11330187718459
1981-10-11,KWEEN,22.505689986695682,14.815749489606606,18.518178233251806
1981-10-11,KAPCHORWA,20.632009901305555,13.602278713325346,17.17604197306829
1981-10-11,MANAFWA,21.557715646138863,13.934199999879812,17.905519189719755
1981-10-11,BUDUDA,19.13839092004829,12.222746715716294,15.880432005907258
1981-10-11,MBALE,23.233117636612484,15.880942046354535,19.815248434367277
1981-10-11,MBALE,23.134638465771953,16.325141055270024,19.95824413622842
1981-10-12,SIRONKO,23.756158148896564,13.518779233599792,18.78685928548304
1981-10-12,BULAMBULI,25.109619501863566,14.396443362378728,19.835857365283154
1981-10-12,BUKWO,20.18357377001592,12.11364935626638,15.353527591870531
1981-10-12,BUTALEJA,27.976626232183893,15.877616449614639,22.077558657730453
1981-10-12,KWEEN,24.496877263173072,14.094386929783022,18.98319916642823
1981-10-12,KAPCHORWA,22.62691314260143,12.811202291849568,17.47199283241552
1981-10-12,MANAFWA,23.515590073562834,13.162127992404265,18.229959187810547
1981-10-12,BUDUDA,20.91433038475029,11.520224665133776,16.08600434223963
1981-10-12,MBALE,25.075168014553146,13.962145989269237,19.982164414780332
1981-10-12,MBALE,24.88060069575306,13.781595903021131,19.992347721263997
1981-10-13,SIRONKO,23.058077764788084,15.579990007532901,19.258677961180776
1981-10-13,BULAMBULI,25.14855334395948,17.199471744380396,20.855235255375955
1981-10-13,BUKWO,19.836541291757545,12.287168924219015,16.16617975210836
1981-10-13,BUTALEJA,27.349893393800844,17.897417385350707,21.968453227516733
1981-10-13,KWEEN,24.651771742472693,14.528177438402304,20.00562005442364
1981-10-13,KAPCHORWA,22.44855663186097,14.544453266887494,18.42368476856286
1981-10-13,MANAFWA,23.039491832619692,13.715371388348265,18.155218671974836
1981-10-13,BUDUDA,20.306038496562735,12.439506086987324,16.15504575990148
1981-10-13,MBALE,24.543772512979785,15.963920975914949,19.915738978363215
